service_id,category,service_name,price,unit,description
SV01,"Khám bệnh","Khám nội tổng quát",200000,"lần khám","Khám lâm sàng, tư vấn điều trị nội khoa"
SV02,"Khám bệnh","Khám chuyên khoa Tim mạch",300000,"lần khám","Khám lâm sàng chuyên sâu tim mạch"
SV03,"Khám bệnh","Khám Nhi khoa",170000,"lần khám","Khám cho trẻ em từ sơ sinh đến 15 tuổi"
SV04,"Khám bệnh","Khám thai định kỳ",250000,"lần khám","Khám và tư vấn thai kỳ"
SV05,"Khám bệnh","Khám Da liễu",250000,"lần khám","Khám và tư vấn các bệnh về da"
SV06,"Xét nghiệm","Xét nghiệm máu tổng quát",350000,"gói","Công thức máu, đường huyết, mỡ máu, chức năng gan thận"
SV07,"Xét nghiệm","Xét nghiệm nước tiểu",80000,"lần","Tổng phân tích nước tiểu"
SV08,"Chẩn đoán hình ảnh","Siêu âm ổ bụng tổng quát",250000,"lần","Siêu âm 2D ổ bụng"
SV09,"Chẩn đoán hình ảnh","Siêu âm tim",400000,"lần","Siêu âm Doppler tim màu"
SV10,"Chẩn đoán hình ảnh","Chụp X-quang",150000,"phim","Chụp X-quang kỹ thuật số 1 tư thế"
SV11,"Thủ thuật","Tiểu phẫu nhỏ",500000,"lần","Tiểu phẫu, khâu vết thương đơn giản"
SV12,"Tiêm chủng","Tiêm vắc-xin cúm mùa",350000,"mũi","Vắc-xin phòng cúm mùa cho trẻ em và người lớn"
SV13,"Khám bệnh","Khám Tai Mũi Họng (nội soi)",250000,"lần khám","Khám và nội soi Tai Mũi Họng"
SV14,"Khám bệnh","Khám Mắt (đo khúc xạ)",230000,"lần khám","Khám mắt và đo độ khúc xạ"
SV15,"Gói khám","Gói khám sức khỏe tổng quát cơ bản",990000,"gói","Khám nội tổng quát + xét nghiệm máu + nước tiểu + siêu âm bụng + X-quang ngực"
